,Sample Date,Address,1st Draw,2/3 Min,5 Min
0,2016-01-27 00:00:00,3800 S CAMPBELL AVE,1.54,1.0,1.0
1,2016-01-27 00:00:00,4500 N MERRIMAC AVE,3.22,2.17,1.94
2,2016-01-29 00:00:00,2500 N ST LOUIS AVE,19.1,1.89,1.66
3,2016-01-29 00:00:00,2500 N ST LOUIS AVE*,19.1,1.89,1.66
4,2016-01-29 00:00:00,6100 S LANGLEY AVE,1.0,1.0,1.0
5,2016-02-04 00:00:00,300 W 100TH PL*,96.8,3.81,3.08
6,2016-02-04 00:00:00,700 W 50TH ST,1.0,1.0,1.0
7,2016-02-04 00:00:00,9900 S PERRY AVE,5.18,1.0,1.0
8,2016-02-04 00:00:00,9900 S PERRY AVE,18.6,1.0,1.0
9,2016-02-04 00:00:00,9900 S PERRY AVE*,18.6,1.0,1.0
10,2016-02-04 00:00:00,2000 W 68TH PL,6.4,1.0,1.0
11,2016-02-04 00:00:00,3700 S LAKE PARK AVE,1.0,1.0,1.0
12,2016-02-04 00:00:00,7400 S CHAMPLAIN AVE,1.0,1.0,1.0
13,2016-02-04 00:00:00,300 W 100TH PL,96.8,3.81,3.08
14,2016-02-04 00:00:00,10500 S AVE J,3.58,1.36,1.22
15,2016-02-05 00:00:00,1100 W LUNT AVE,16.7,1.0,1.0
16,2016-02-05 00:00:00,1100 W LUNT AVE*,16.7,1.0,1.0
17,2016-02-06 00:00:00,6100 S KARLOV AVE,3.22,3.5,2.82
18,2016-02-08 00:00:00,4800 W ERIE ST,1.12,1.0,1.0
19,2016-02-08 00:00:00,600 E 84TH ST,1.0,1.0,1.0
20,2016-02-09 00:00:00,6900 S CRANDON AVE,2.97,1.0,1.0
21,2016-02-09 00:00:00,2000 W CULLOM AVE,1.0,1.0,1.0
22,2016-02-09 00:00:00,4200 W WALTON ST,2.41,5.15,1.44
23,2016-02-09 00:00:00,6900 S CRANDON AVE,2.97,1.0,1.0
24,2016-02-10 00:00:00,10400 S CENTRAL PARK AVE,3.76,3.96,1.43
25,2016-02-10 00:00:00,8000 S ALBANY AVE,2.39,2.38,6.32
26,2016-02-10 00:00:00,1800 N CLYBOURN AVE,1.0,1.0,1.0
27,2016-02-11 00:00:00,0 W 15TH ST,1.0,1.0,1.0
28,2016-02-11 00:00:00,5600 N WAYNE AVE,2.91,1.0,1.0
29,2016-02-11 00:00:00,5400 S HARPER AVE***,17.2,1.0,3.05
30,2016-02-11 00:00:00,5400 S HARPER AVE,17.2,1.0,3.05
31,2016-02-12 00:00:00,1100 W WELLINGTON AVE,2.26,1.4,1.27
32,2016-02-12 00:00:00,5600 N WAYNE AVE,1.0,1.0,1.0
33,2016-02-12 00:00:00,4400 N CLIFTON AVE,1.6,1.0,1.0
34,2016-02-12 00:00:00,2000 S DAMEN AVE,1.66,1.0,1.0
35,2016-02-12 00:00:00,4900 S KIMBARK AVE,1.0,2.75,2.08
36,2016-02-12 00:00:00,4400 N RAVENSWOOD AVE,3.55,1.0,1.0
37,2016-02-12 00:00:00,9300 S RACINE AVE,1.0,4.42,4.75
38,2016-02-12 00:00:00,7600 S MERRILL AVE,1.05,1.0,1.0
39,2016-02-12 00:00:00,1000 W 102ND ST,1.37,1.0,1.0
40,2016-02-12 00:00:00,2300 W DICKENS AVE,1.0,2.4,1.74
41,2016-02-12 00:00:00,7600 S MERRILL AVE*,1.05,1.0,1.0
42,2016-02-13 00:00:00,1600 W EDGEWATER AVE,2.93,2.0,1.66
43,2016-02-13 00:00:00,13200 S CORLISS AVE,2.32,1.0,1.0
44,2016-02-13 00:00:00,6000 W DAKIN ST,4.12,1.0,1.0
45,2016-02-13 00:00:00,8200 S RICHMOND ST,1.62,1.17,1.0
46,2016-02-13 00:00:00,7500 N OCTAVIA AVE,1.96,1.22,1.0
47,2016-02-15 00:00:00,5700 N OSAGE AVE,1.0,1.0,1.0
48,2016-02-15 00:00:00,3700 W 115TH ST,2.3,1.0,1.0
49,2016-02-15 00:00:00,5300 N SPAULDING AVE,3.42,1.76,1.47
50,2016-02-16 00:00:00,9300 S BENNETT AVE,68.9,11.7,4.18
51,2016-02-16 00:00:00,9300 S BENNETT AVE*,68.9,11.7,4.18
52,2016-02-16 00:00:00,5100 N OAKLEY AVE,3.86,2.12,1.55
53,2016-02-16 00:00:00,9300 S BENNETT AVE,68.9,11.7,4.18
54,2016-02-16 00:00:00,3500 W 84TH PL,6.45,2.24,1.0
55,2016-02-16 00:00:00,2100 W WARNER AVE,13.0,2.09,1.92
56,2016-02-16 00:00:00,1700 W GRANVILLE AVE,7.1,2.44,2.82
57,2016-02-16 00:00:00,8100 S EUCLID AVE*,65.6,2.46,1.69
58,2016-02-16 00:00:00,8100 S EUCLID AVE,65.6,2.46,1.69
59,2016-02-17 00:00:00,11700 S BELL AVE,1.5,1.34,1.0
60,2016-02-17 00:00:00,1100 W GEORGE ST*,206.0,6.51,6.31
61,2016-02-17 00:00:00,200 N MASON AVE,3.91,2.72,1.2
62,2016-02-17 00:00:00,6100 N MONTICELLO AVE,3.54,2.38,1.4
63,2016-02-17 00:00:00,1100 W GEORGE ST,206.0,6.51,6.31
64,2016-02-17 00:00:00,1100 W GEORGE ST,5.4,1.0,1.0
65,2016-02-17 00:00:00,1600 N CLEVELAND AVE,1.0,1.0,1.0
66,2016-02-18 00:00:00,7300 W RASCHER AVE,2.9,1.14,1.0
67,2016-02-18 00:00:00,7100 S WOODLAWN AVE,1.0,1.0,1.0
68,2016-02-18 00:00:00,00 E SCOTT ST,2.09,3.54,1.0
69,2016-02-18 00:00:00,2800 W 102ND PL,12.1,1.0,1.0
70,2016-02-18 00:00:00,7300 W RASCHER AVE,7.15,1.0,1.0
