Name,Street Dir,Street Num
Abbott Ave,W,210
Aberdeen St,W,1100
Academy Pl,W,812
Achsah Bond Dr,S,1250
Ada St,W,1324
Adams St,S,200
Adams Blvd,S,144
Addison St,N,3600
Administration Dr,S,5620
Agatite Ave,N,4432
Ainslie St,N,4900
Albany Dr,W,3100
Albany Ave,W,3100
Albion Ave,N,6600
Aldine Ave,N,3300
Alexander St,S,2246
Algonquin Ave,W,5600
Allen Ave,W,3500
Allport St,W,1234
Alta Vista Terrace,W,1054
Altgeld St,N,2500
Anchor Dr,W,2728
Ancona St,N,654
Ann Lurie Pl,S,4220
Anson Pl,N,418
Anthon Ave,W,8534
Anthony Ave,E,400
Arcade Pl,S,20
Arch St,W,1316
Ardmore Ave,N,5800
Argyle St,N,5000
Arlington Pl,N,2444
Armitage Ave,N,2000
Armour St,W,1500
Armstrong Ave,N,5660
Artesian Ave,W,2432
Arthington St,S,900
Arthur Ave,N,6500
Asher St,S,12244
Ashland Blvd,W,1600
Ashland Ave,W,1600
Astor St,E,50
Attrill St,N,2200
Augusta Blvd,N,1000
Austin Blvd,W,6000
Austin Ave,W,6000
Avalon Ave,E,1232
Avenue B,E,4032
Avenue C,E,4000
Avenue D,E,3932
Avenue E,E,3900
Avenue F,E,3832
Avenue G Dr,E,3800
Avenue G,E,3800
Avenue H,E,3732
Avenue J,E,3700
Avenue K,E,3624
Avenue L,E,3600
Avenue M,E,3532
Avenue N,E,3500
Avenue O,E,3432
Avers Ave,W,3832
Avondale Ave,W,1800
Baker Ave,E,3014
Balbo Ave,S,700
Balbo Dr,S,700
Baldwin Ave,E,1900
Balmoral Ave,N,5400
Baltimore St,E,28
Banks St,N,1334
Barry Ave,N,3100
Bay Court,W,2708
Beach Ave,N,1422
Beacon St,W,1338
Beaubien Court,E,120
Belden Ave,N,2300
Bell Ave,W,2232
Belle Plaine Ave,N,41
Bellevue Pl,N,1030
Belmont Ave,N,3200
Bennett Ave,E,1900
Bensley Ave,E,2500
Benson St,W,1400
Benton Pl,N,172
Berenice Ave,N,3832
Berkeley Ave,E,1024
Bernard St,W,3434
Berteau Ave,N,4200
Berwyn Ave,N,5300
Besly Court,W,1408
Bessie Coleman Dr,W,10432
Best Dr,S,6000
Beverly Glen Pkwy,S,9934
Bingham St,W,2518
Birchwood Ave,N,7500
Birkhoff Ave,W,648
Bishop St,W,1438
Bissell St,W,832
Bittersweet Pl,N,4100
Blackhawk St,N,1500
Blackstone Ave,E,1436
Blake St,W,2208
Blanchard Court,E,20
Bliss St,N,1100
Bloomingdale Ave,N,1800
Blue Island Ave,W,1068
Bonaparte St,W,1400
Bond Ave,E,3134
Bonfield St,W,1036
Bosak Ave,S,10200
Bosworth Ave,W,1530
Boulevard Way,E,2938
Bowen Ave,S,4134
Bowen Dr,S,5112
Bowler St,S,746
Bowmanville Ave,W,2342
Bradley Pl,N,3732
Brainard Ave,E,2700
Brandon Ave,E,3200
Brayton St,S,12562
Breakwater Access,E,600
Brennan Ave,E,2300
Briar Pl,N,3138
Brighton Pl,W,2700
Broad St,W,1500
Broadway,W,600
Brodman Ave,N,4416
Brompton Ave,N,3535
Bross Ave,S,3200
Browning Ave,S,3548
Bryn Mawr Ave,N,5600
Buckingham Pl,N,3332
Buena Ave,N,4200
Buena Circle,N,4200
Buffalo Ave,E,3300
Burley Ave,E,3234
Burling St,W,728
Burkhardt Dr,S,1354
Burley Ave,E,3234
Burling St,W,728
Burnham Ave,E,2800
Burnham Harbor Dr,E,500
Burnside Ave,E,234
Burton Pl,N,1500
Busse Ave,W,6710
Byron St,N,3900
Cabrini St,N,82
Cahill Terrace,N,3610
Caldwell Ave,W,4500
Calhoun Pl,N,24
Calhoun Ave,E,2526
California Terrace,N,3122
California Blvd,W,2800
California Ave,W,2800
Calumet Ave,E,334
Calumet Pkwy,E,324
Cambridge Ave,W,536
Campbell Pl,N,540
Campbell Ave,W,2500
Campbell Park Dr,S,708
Campus Pkwy,W,828
Canal St,W,500
Canalport Ave,W,500
Canfield Ave,W,7900
Carmen Ave,N,5100
Carondolet Ave,E,3032
Carpenter St,W,1032
Carroll Ave,N,328
Carver Plaza,S,3718
Carver Dr,E,1200
Castleisland Ave,N,4540
Castlewood Terrace,N,4862
Catalpa Ave,N,5500
Catherine Ave,N,5400
Caton St,N,1652
Cedar St,N,1120
Central Ave,W,5600
Central Park Dr,W,3600
Central Park Blvd,W,3600
Central Park Ave,W,3600
Cermak Rd,S,2200
Chalmers Pl,N,2332
Chalmers St,W,900
Champlain Ave,E,634
Chanay St,N,2132
Chappel Ave,E,2032
Charles St,W,1700
Charleston St,N,2100
Chase Ave,N,7300
Chelsea Pl,S,11040
Cheltenham Pl,S,7878
Cherry Ave,W,928
Chester Ave,W,8500
Chestnut St,N,860
Chicago Ave,N,800
Chicago Beach Dr,E,1624
Chicora Ave,W,5700
Childrens Plaza,W,724
China Pl,W,211
Christiana Ave,W,3332
Church St,W,1500
Churchill St,N,1832
Churchill Row,N,1800
Cicero Ave,W,4800
Circle Pkwy,W,810
Cityfront Plaza Dr,E,200
Claremont Ave,W,2332
Clarence Ave,N,6234
Clarendon Ave,W,800
Clark St,W,100
Cleaver St,W,1432
Cleveland Ave,W,500
Clifford Ave,W,5000
Clifton Ave,W,1126
Clinton St,W,540
Clover St,W,4614
Clybourn Ave,W,426
Clyde Ave,E,2100
Coast Guard Dr,E,2030
Coles Ave,E,2500
Colfax Ave,E,2600
College Pkwy,S,1508
Columbia Ave,N,673
Columbus Ave,S,7400
Columbus Dr,E,301
Commercial Ave,E,3000
Commercial Court,E,2948
Commodore Whalen Dr,E,2200
Commons Dr,W,8430
Commonwealth Ave,W,340
Concord Lane,N,1632
Concord Pl,N,1632
Congress Pkwy,S,500
Congress Dr,S,500
Congress Plaza Dr,E,400
Conservatory Dr,W,3600
Constance Ave,E,1832
Corbett St,W,958
Corcoran Pl,N,400
Corliss Ave,E,800
Cornelia Ave,N,3500
Cornell Ave,E,1600
Cornell Dr,E,1632
Cortez St,N,1032
Cortez Dr,N,3200
Cortland St,N,1900
Cottage Grove Ave,E,200
Cottage Pl,S,224
Couch Pl,N,170
Coulter Street,W,2000
Court Pl,N,125
Coyle Ave,N,6932
Crandon Ave,E,2300
Cregier Ave,E,1800
Crest Line St,S,8144
Crilly Court,W,224
Crilly Dr,E,3900
Crosby St,W,600
Crowell St,W,1200
Crystal St,N,1232
Cullerton St,S,2000
Cullom Ave,N,4300
Cumberland Ave,W,8400
Cuyler Ave,N,4032
Cyril Ave,E,1964
Dakin St,N,3932
Damen Ave,W,2000
Daniel Dr,E,300
Dante Ave,E,1432
Dauphin Ave,E,888
Davlin Court,W,3946
Davol St,W,1620
Dawson Ave,W,3432
Dayton St,W,832
De Sable St,S,3756
Dean St,W,1700
Dearborn St,W,36
Dearborn Pkwy,W,36
Dekoven St,S,1100
Delano Court,W,150
Delaware Pl,N,900
Delphia Ave,W,8600
Deming Pl,N,2534
Denvir Ave,W,2526
Desplaines St,W,630
Desplaines Rd,W,9400
Devon Ave,N,6400
Dewitt Pl,E,238
Dickens Dr,N,2100
Dickens Ave,N,2100
Dickens Blvd,N,2100
Diversey Dr,N,2800
Diversey Pkwy,N,2800
Diversey Ave,N,2800
Diversey School Court,N,2756
Division St,N,1200
Dobson Ave,E,1032
Dominick St,W,1430
